A04	Centre Municipal
A14	Portage Creek
A29	Sitka SPB
A30	Scott Valley
A32	Butte Valley
A61	Tuntutuliak
A63	Twin Hills
A79	Chignik Lake
A85	Kwigillingok
AAF	Apalachicola Municipal
AAO	Colonel James Jabara
AAS	Taylor County
AAT	Alturas Municipal
ABE	Lehigh Valley International
ABI	Abilene Regional
ABO	Antonio (Nery) Juarbe Pol
ABQ	Albuquerque International
ABR	Aberdeen Regional
ABY	Southwest Georgia Regional
ACB	Antrim County
ACJ	Souther
ACK	Nantucket Memorial
ACQ	Waseca Municipal
ACT	Waco Regional
ACV	Arcata
ACY	Atlantic City International
ACZ	Henderson
ADC	Wadena Municipal
ADG	Lenawee County
ADH	Ada Municipal
ADK	Adak
ADM	Ardmore Municipal
ADQ	Kodiak
ADS	Addison
ADT	Atwood-Rawlins County City-County
ADU	Audubon Municipal
AEG	Double Eagle II
AEL	Albert Lea Municipal
AEX	Alexandria International
AFE	Kake
AFJ	Washington County
AFK	Nebraska City Municipal
AFM	Ambler
AFN	Jaffrey Municipal Silver Ranch
AFO	Afton Municipal
AFW	Fort Worth Alliance
AGC	Allegheny Cty
AGN	Angoon SPB
AGO	Magnolia Municipal
AGS	Bush
AGZ	Wagner Municipal
AHH	Amery Municipal
AHN	Athens Municipal
AHP	Port Alexander SPB
AHQ	Wahoo Municipal
AIA	Alliance Municipal
AID	Anderson Municipal
AIG	Langlade County
AIK	Aiken Municipal
AIO	Atlantic Municipal
AIT	Aitkin Municipal
AIV	George Downer
AIY	Atlantic City Municipal
AIZ	Lee C Fine Memorial
AJC	Chignik (Anchorage Bay)
AJG	Mt Carmel Municipal
AJO	Corona Municipal
AJR	Habersham County
AK5	Perryville
AKA	Atka
AKH	Gastonia Municipal
AKI	Akiak
AKK	Akhiok
AKN	King Salmon
AKO	Akron-Washington Co
AKP	Anaktuvuk Pass
AKR	Akron Fulton Intl.
AKW	Klawock
ALB	Albany Cty
ALI	Alice International
ALM	Alamogordo-White Sands Regional
ALN	St. Louis Regional
ALO	Waterloo Municipal
ALS	San Luis Valley Regional/Bergman
ALW	Walla Walla Regional
ALX	Thomas C Russell
AMA	Amarillo International
AMG	Bacon County
AMN	Gratiot Community
AMT	Alexander Salamon
AMW	Ames Municipal
ANB	Anniston Metropolitan
ANC	Ted Stevens Anchorage International
AND	Anderson County
ANE	Anoka County
ANI	Aniak
ANQ	Steuben County-Tri State
ANV	Anvik
ANW	Ainsworth Municipal
ANY	Anthony Municipal
AOC	Arco-Butte County
AOH	Allen County
