AA	American Airlines
AL	Skyway Airlines
AQ	Aloha Airlines
AS	Alaska Airlines
B6	JetBlue Airways
C8	Chicago Express Airlines
CB	Air One
CO	Continental Air Lines
DH	Independence Air
DL	Delta Air Lines
E9	Boston-Maine Airways
EA	Eastern Air Lines
EP	All Star Airlines
EV	Atlantic Southeast Airlines
F9	Frontier Airlines
FH	Frontier Horizon
FJ	Air Pacific
FL	AirTran Airways
FW	Skybus
GL	Miami Air International
GM	Air America
GQ	Big Sky Airlines
GV	Grant Aviation
HA	Hawaiian Airlines
HP	America West Airlines
HQ	Harmony Airways
JW	Arrow Air
JX	Southeast Airlines
K5	Wings Of Alaska
K7	Arizona Express
KO	Alaska Central Express
KR	Kitty Hawk Aircargo
KS	Peninsula Airways
LW	Pacific Wings Airlines
M6	Amerijet International
MG	Champion Air
MQ	American Eagle Airlines
NK	Spirit Airlines
NN	Northward Airlines
NW	Northwest Airlines
NY	New York Air
OC	Air California
OO	Skywest Airlines
PA	Florida Coastal Airlines
PN	Pan American Airways
PO	Polar Air Cargo Airways
PS	Pacific Southwest Airlines
PW	Pacific Western Airlines
QG	Sky West Aviation
QH	Air Florida
QQ	Reno Air
QX	Horizon Air
RP	Chautauqua Airlines
RV	Reeve Aleutian Airways
S3	Santa Barbara Airlines
S5	Shuttle America
SI	Sierra Pacific Airlines
SX	Skybus Airlines
SY	Sun Country
TB	USAir Shuttle
U5	USA 3000 Airlines
U7	USA Jet Airlines
UA	United Airlines
UD	Fast Air Carrier
UR	Empire Airlines
US	US Airways
V9	Eagle Airlines
VB	Pacific Express
VL	Mid-South Aviation
VS	Virgin Atlantic Airways
VX	Virgin America
VY	Highland Express Airways
W7	Western Pacific Airlines
W9	Eastwind Airlines
WG	Sunwing Airlines
WI	Tradewinds Airlines
WN	Southwest Airlines
WS	Westjet
WV	Air South
XE	Expressjet Airlines
YB	Trans Continental Airlines
YM	Royal West Airlines
YV	Mesa Airlines
YX	Midwest Airline
ZK	Great Lakes Airlines
ZN	Key Airlines
ZO	Florida Express
ZV	Air Midwest
ZW	Air Wisconsin Airlines
